das,iggrixd,iggrind,iggrijd,realprec,et0,hCritA,GWL,xdcTop,ndcTop,jdcTop,xdkc,ndkc,jdkc,xdpet,ndpet,jdpet,渗漏量,籼稻生育期,糯稻生育期,粳稻生育期,籼稻田间水层,糯稻田间水层,粳稻田间水层,xdprec,ndprec,jdprec
126,,,,0.26,2.505570519,100000,240.4521052,0,0,0,,0.94,0.942372881,0,0.235523629,0.236118171,0.4,,灌浆期,灌浆期,-7.018152935,1.251316976,1.222613069,0.26,0.26,0.26
127,,,,1.42,1.394693845,100000,243.6740958,0,0,0,,0.933333333,0.93559322,0,0.130171425,0.130486611,0.4,,灌浆期,灌浆期,-5.998152935,2.141145551,2.112126458,1.42,1.42,1.42
128,,,,0.4,1.377606965,100000,245.1755495,0,0,0,,0.926666667,0.928813559,0,0.127658245,0.127954003,0.4,,灌浆期,灌浆期,-5.998152935,2.013487305,1.984172456,0.4,0.4,0.4
129,,,,0,1.860035983,100000,245.1681045,0,0,0,,0.92,0.922033898,0,0.17112331,0.171501623,0.4,,灌浆期,灌浆期,-6.398152935,1.442363995,1.412670833,0,0,0
130,,1,1,0,1.895990332,100000,243.8633992,0,0,0,,0.913333333,0.915254237,0,0.173167117,0.173531318,0.4,,灌浆期,灌浆期,-6.798152935,1.869196878,1.839139514,0,1,1
131,,,,0,1.4103836,100000,241.473072,0,0,0,,0.906666667,0.908474576,0,0.12787478,0.128129764,0.4,,灌浆期,灌浆期,-7.198152935,1.341322098,1.31100975,0,0,0
132,,,,0,2.365371927,100000,238.2087611,0,0,0,,0.9,0.901694915,0,0.212883473,0.213284384,0.4,,灌浆期,灌浆期,-7.598152935,0.728438625,0.697725366,0,0,0
133,,,,0,2.489717991,100000,234.2821049,0,0,0,,0.893333333,0.894915254,0,0.222414807,0.222808661,0.4,,灌浆期,灌浆期,-7.998152935,0.106023818,0.074916705,0,0,0
134,,,,0,2.615456529,100000,229.9047417,0,0,0,,0.886666667,0.888135593,0,0.231903812,0.232288004,0.4,,灌浆期,灌浆期,-8.398152935,-0.525879995,-0.557371298,0,0,0
135,,,,0,2.220197449,100000,225.2883099,0,0,0,,0.88,0.881355932,0,0.195377375,0.195678419,0.4,,灌浆期,灌浆期,-8.798152935,-1.12125737,-1.153049717,0,0,0
136,,,,0.03,1.320333916,100000,220.6444478,0,0,0,,0.873333333,0.874576271,0,0.115309162,0.115473271,0.4,,灌浆期,灌浆期,-9.168152935,-1.606566532,-1.638522989,0.03,0.03,0.03
137,,,,0,1.557393363,100000,216.1847938,0,0,0,,0.866666667,0.86779661,0,0.134974092,0.135150068,0.4,,灌浆期,灌浆期,-9.568152935,-2.141540624,-2.173673057,0,0,0
138,,,,0,1.948404552,100000,212.1209861,0,0,0,,0.86,0.861016949,0,0.167562791,0.167760934,0.4,,灌浆期,灌浆期,-9.968152935,-2.709103415,-2.741433991,0,0,0
139,,,,0.35,1.154794622,100000,208.6646631,0,0,0,,0.853333333,0.854237288,0,0.098542474,0.098646863,0.4,,灌浆期,灌浆期,-10.01815293,-2.857645889,-2.890080854,0.35,0.35,0.35
140,,,,0.27,1.194532742,100000,206.0274631,0,0,0,,0.846666667,0.847457627,0,0.101137106,0.101231588,0.4,,灌浆期,灌浆期,-10.14815293,-3.088782995,-3.121312442,0.27,0.27,0.27
141,,,,0,1.965672822,100000,204.369991,0,0,0,,0.84,0.840677966,0,0.165116517,0.165249783,0.4,,灌浆期,灌浆期,-10.54815293,-3.653899512,-3.686562225,0,0,0
142,,,,0,1.926588442,100000,203.6487178,0,0,0,,0.833333333,0.833898305,0,0.160549037,0.160657884,0.4,,灌浆期,灌浆期,-10.94815293,-4.214448549,-4.247220109,0,0,0
143,,,,0,1.979377593,100000,203.7690809,0,0,0,,0.826666667,0.827118644,0,0.163628548,0.163718011,0.4,,灌浆期,灌浆期,-11.34815293,-4.778077097,-4.81093812,0,0,0
144,,,,0,1.545404173,100000,204.6365179,0,0,0,,0.82,0.820338983,0,0.126723142,0.126775529,0.4,,灌浆期,灌浆期,-11.74815293,-5.304800239,-5.337713649,0,0,0
145,,,,0.02,1.320504546,100000,206.1564662,0,0,0,,0.813333333,0.813559322,0,0.107401036,0.107430878,0.4,,灌浆期,灌浆期,-12.12815293,-5.792201275,-5.825144527,0.02,0.02,0.02
146,,,,0,1.963960953,100000,208.2343634,0,0,0,,0.806666667,0.806779661,0,0.158426184,0.158448375,0.4,,灌浆期,灌浆期,-12.52815293,-6.350627459,-6.383592902,0,0,0
147,,,,0,1.880108973,100000,210.7756468,0,0,0,,0.8,0.8,0,0.150408718,0.150408718,0.4,,灌浆期,灌浆期,-12.92815293,-6.901036177,-6.93400162,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
